AccountName,Name,Subscribers,Views,Likes,Comments,Shares
ash.e.e,Ashley Elliott,11.7M,4.6M,523.7K,1.8K,348
evtushenko_dima,Дима Евтушенко,7.8M,2.6M,136.2K,11.8K,3K
hisoyvaleria,valeria 🖤,9.1M,3.2M,443.2K,1.3K,2.5K
jessechrisss,Jess,3.6M,3M,665.5K,1.7K,865
ozikoy,KOY,7.6M,3M,393.9K,2.3K,2.1K
danielatreco,DanielaTreco,1.5M,2M,370.8K,984,5.8K
dinosonso_ofc,DinoSonso,8.8M,2.5M,194.1K,4.4K,5.9K
oironyoliveira,Kbuloso 😈,6.8M,1.7M,154.6K,650,18.8K
michou_yt,Michou,7.7M,4M,415.4K,2.4K,568
gemeosdomingues,GÊMEOS DOMINGUES,2.2M,2M,188.7K,8.6K,4.5K
nikitadragun,Nikita Dragun,14.6M,3.6M,446.5K,1.5K,1.5K
dobretwins,Lucas and Marcus,36.6M,4.4M,425.4K,1.8K,764
valenrewah,Valenrewah,8.3M,5.1M,540.8K,1K,699
cardncyn,Carddd,4.5M,5M,599.2K,998,587
hiagodosvideos,Hiago Marques,2.1M,2.4M,409K,1.7K,3.1K
kaylamalecc,kayla,9.3M,3.4M,429.6K,3K,249
babybella777,Bella Hadid,6.4M,4.3M,550K,1.3K,641
danythegaggio,Daniele Cabras,3.5M,2.3M,283.5K,1.5K,5.6K
unkabogableviceganda,Vice Ganda,10.2M,4.5M,564.6K,1.3K,537
hafizmahamad,Hafiz Mahamad,1.2M,2.3M,201.3K,5.3K,4.5K
mndiaye_97,mndiaye_97,15.4M,2.7M,458.5K,2.1K,1.6K
davidcstt_,David Costa,5.9M,3.1M,493.8K,1.4K,1.6K
vanessalopesr,Vanessa Lopes,26.5M,3.3M,345K,2.4K,1.4K
eupereiraoficial,Eu Pereira,8M,3.4M,385.9K,1.6K,1.7K
anna..paull,Anna Paul,5.6M,3M,602K,1.8K,590
karna.val,🎀КАРНАВАЛ🎀,24.5M,2.9M,283.5K,3.2K,2.2K
animalize21,animalize21🔥,12.8M,4.2M,478K,1.1K,1.1K
jaimefrench,Jaime French,485.4K,1.8M,366.4K,2.7K,4K
ne_4_,نيف السيد,3.4M,3M,208.5K,4.9K,1.9K
yano4kaa.aaa,yano4kaa,4.3M,2.9M,434.6K,1.6K,1.8K
ssukasuka12,quotes kartun,1.1M,1.5M,179.9K,194,14.8K
lilnasx,lil nas x,28.8M,2.8M,432.1K,1.6K,1.8K
abir.sag,Abir el saghir,16.6M,3.6M,292.5K,2K,1.8K
bretmanrock,bretmanrock,14.6M,2.3M,504.4K,1.4K,2.2K
miladmirg,Milad,5.9M,3.8M,367.7K,2.4K,446
jakepaul,Jake Paul,16.9M,4.3M,240.9K,3.1K,880
jemimajune_,Jemima June,569.3K,4.5M,510.1K,856,894
gordeewa__13,gordeewa__13 :&gt;,13.8M,4.9M,278.6K,2.4K,524
axelwebber,Axel,4.4M,3.6M,771.7K,1K,399
mohm.nabeel,mohammad.nabeel,566.1K,2.3M,132.4K,4.5K,8.5K
paytonking,Payton King,5.3M,1.7M,388.2K,2.7K,3.4K
kblock43,Ken Block,1.8M,3.2M,342.3K,762,2.9K
nia.ramadhani.bakrie,Nia Ramadhani Bakrie,2.1M,4.1M,337.1K,1.6K,1.2K
mateuspesce,Mateus pesce,7.2M,2.2M,257.2K,2.5K,4.5K
itsmenicksmithy,Nick Smithyman 🤓,8.2M,2.6M,243.7K,1.8K,4.4K
gurrms0630,BEDDY,7.5M,2.7M,464K,1.8K,1.4K
marianagrimaldii,La Niña Fresa 🍓,2.8M,3.3M,449.8K,709,1.9K
cedriklorenzen,Cedrik Lorenzen,3.2M,2M,229.7K,3.2K,5.1K
lgndfrvr,LGNDFRVR,17.4M,2.5M,417.8K,1.3K,2.4K
sunnyjutt1296,SunNy Jutt,2.5M,3.5M,344K,1.9K,1.2K
lilpump,Lil Pump,4.4M,2.7M,306.7K,3K,1.5K
kukombo,H,4.8M,2.7M,622.2K,1.7K,533
caprariu_valentino,V A L E N T I N O,3M,4.3M,230.2K,1.8K,2K
hf37777,نجم الثرياء⭐H,643.7K,1.3M,38.4K,6.2K,71K
emrata,Emrata,2.1M,3.5M,329.3K,1.2K,2K
thallyssonsb,Thallysson Borges,11.2M,2M,294.2K,2.4K,4K
artemmodelka,artemmodelka,801.1K,5.1M,299.2K,1.9K,446
surthycooks,Surthycooks,15.9M,3.4M,491.7K,1.5K,544
sturniolo.triplets,Sturniolo’s,4.7M,2.2M,505.2K,2.2K,969
